1,Espressokhg,Arabica,Small,3.5,Dark,Ethiopia,false,10,"Chocolate, Nutty, Fruity, Citrus, Sweet, Smooth, Bold, Creamy, Earthy",Espresso,71822daa-719a-4168-bb6a-42002abf0638.png
2,Latte,Arabica,Medium,4.5,Medium,Brazil,false,8,"Sweet, Creamy",Drip,null
3,Cappuccino,Robusta,Large,5.0,Medium,Colombia,false,12,"Fruity, Bold",French Press,50c9d4cb-67e0-4a18-9c6b-4a5785b8eda7.jpg
4,Mocha,Arabica,Medium,4.75,Dark,Guatemala,false,6,"Chocolate, Smooth",Espresso,50c9d4cb-67e0-4a18-9c6b-4a5785b8eda7.jpg
5,Americano,Robusta,Large,3.25,Light,Kenya,false,15,"Citrus, Balanced",Drip,50c9d4cb-67e0-4a18-9c6b-4a5785b8eda7.jpg
6,dfsfbdfb,Americano,Large,45645.0,Medium,jfgdf,false,8,"Nutty, Fruity",French Press,29a7e81c-b262-44d5-84a9-258904128e39.png
7,sdasdas,Robusta,Medium,2456.0,Medium,asdz,true,56546,"Chocolate, Nutty, Fruity, Citrus",Espresso,5b646779-3776-4c76-a73a-89e4e5b7ef9e.jpg
8,jhi,Arabica,Small,4565.0,Medium,asd,true,456,"Chocolate, Fruity",Espresso,9e4aefa2-6262-4a13-9551-4a67ac4242e0.png
9,Espresso,Arabica,Small,3.5,Dark,Ethiopia,false,10,"Chocolate, Nutty, Fruity, Citrus, Sweet, Smooth, Bold, Creamy, Earthy",Espresso,d295a861-d49a-448d-b05a-48eb78823a7c.png
10,saddzxczxc,Robusta,Medium,545.0,Dark,asdasd,true,557,"Chocolate, Nutty, Fruity, Citrus",French Press,a076b5c4-1d83-42b6-84fc-1517f0392247.png
11,Espresso,Arabica,Small,3.5,Dark,Ethiopia,false,10,"Chocolate, Nutty, Fruity, Citrus, Sweet, Smooth, Bold, Creamy, Earthy",Espresso,82d88858-df81-4de1-92ec-9471580c5b0b.jpg
12,i9juh,Arabica,Small,3.5,Dark,Ethiopia,false,10,"Chocolate, Nutty, Fruity, Citrus, Sweet, Smooth, Bold, Creamy, Earthy",Espresso,4e3f8301-9cfb-4a9d-874f-70dc272ba32c.png
13,jhj,Arabica,Medium,4.5,Medium,Brazil,false,8,"Sweet, Creamy",Drip,null
14,Espressojjj,Arabica,Small,3.5,Dark,Ethiopia,false,10,"Chocolate, Nutty, Fruity, Citrus, Sweet, Smooth, Bold, Creamy, Earthy",Espresso,null
